record_id,authors,year,venue,target_language,task,dataset,dataset_size,dataset_public,signer_diversity,model_architecture,temporal_modelling,linguistic_processing,training_details,metrics,latency_fps,hardware,deployment_optimizations,code_availability,key_findings,limitations,risk_of_bias_score
14,Aziz and Othman,2018,MTI,ASL,Sign-to-text,Proprietary dataset,273 hours,No,High,3D CNN,Frame-wise classification,HamNoSys to SiGML,Cross-validation,mAP: 0.87,200 ms latency,Edge TPU,Pruning,Yes,Low-resource deployment tested,Grammar handling incomplete,0
15,Papatsimouli et al.,2025,Technologies,German SL,Speech-to-sign,Custom dataset,N/A,No,High,Transformer,BiLSTM,HamNoSys to SiGML,N/A,Acc: 85%,30 FPS,Mobile device,N/A,Yes,Integration with avatar rendering pipeline,Small dataset limits generalization,1
16,Liang et al.,2018,Electronics,BSL,Speech-to-sign,Proprietary dataset,273 hours,No,High,Transformer,Temporal convolution,N/A,Adam optimizer,WER: 15%,N/A,Edge TPU,N/A,No,Demonstrates semantic fidelity improvement,Grammar handling incomplete,0
17,Papatsimouli et al.,2019,Technologies,ISL,Text-to-sign,BSL-1K,50K samples,Yes,High,CNN,Frame-wise classification,Grammar reordering,SGD,WER: 15%,30 FPS,Laptop GPU,Quantization,Yes,High accuracy; real-time feasible,Requires high-end GPU,0
18,Bora et al.,2024,ICCCS,Multilingual,Bidirectional SLT,Proprietary dataset,N/A,Yes,Moderate,Transformer,Frame-wise classification,Gloss alignment,Adam optimizer,Acc: 92%,30 FPS,Laptop GPU,CoreML,Yes,High accuracy; real-time feasible,Grammar handling incomplete,2
19,Goyal and Goyal,2016,IJST,Multilingual,Bidirectional SLT,Proprietary dataset,273 hours,Yes,Moderate,3D CNN,Self-attention,Rule-based processing,N/A,Acc: 92%,150 ms latency,Edge TPU,Pruning,Yes,Integration with avatar rendering pipeline,Requires high-end GPU,0
20,Babour et al.,2024,AIVR,Assamese SL,Bidirectional SLT,Proprietary dataset,9 hours,No,Moderate,CNN,Temporal convolution,N/A,N/A,Acc: 85%,200 ms latency,GPU,ONNX,Yes,High accuracy; real-time feasible,Limited signer diversity,2
21,Johari et al.,2018,Jurnal Kejuruteraan,ISL,Text-to-sign,Proprietary dataset,50K samples,Yes,Low,3D CNN,Temporal convolution,HamNoSys to SiGML,SGD,Acc: 85%,30 FPS,GPU,ONNX,Yes,High accuracy; real-time feasible,Not tested on real-world data,0
22,Johari et al.,2020,Jurnal Kejuruteraan,Assamese SL,Speech-to-sign,Proprietary dataset,N/A,No,High,Transformer,Frame-wise classification,N/A,Adam optimizer,BLEU: 21.8,200 ms latency,GPU,ONNX,No,Dataset diversity improves generalization,Grammar handling incomplete,1
23,Johari et al.,2018,Jurnal Kejuruteraan,German SL,Speech-to-sign,Custom dataset,15 hours,No,High,3D CNN,Self-attention,Grammar reordering,Train/test split,Acc: 92%,150 ms latency,Mobile device,ONNX,Yes,High accuracy; real-time feasible,Requires high-end GPU,2
24,Moryossef,2020,EMNLP,German SL,Bidirectional SLT,ASLLVD subset,273 hours,No,Moderate,3D CNN,Self-attention,N/A,Train/test split,WER: 15%,200 ms latency,GPU,Quantization,No,Low-resource deployment tested,Limited signer diversity,2
25,Chaudhary et al.,2016,ICIP,ASL,Bidirectional SLT,ASLLVD subset,9 hours,Yes,High,Transformer,Frame-wise classification,N/A,Cross-validation,mAP: 0.87,N/A,Laptop GPU,Pruning,No,Low-resource deployment tested,Requires high-end GPU,1
26,Liang et al.,2025,Electronics,ASL,Bidirectional SLT,Custom dataset,N/A,No,Low,CNN + LSTM,CTC decoding,Gloss alignment,Adam optimizer,Acc: 92%,30 FPS,Laptop GPU,CoreML,Yes,Low-resource deployment tested,Requires high-end GPU,2
27,Kaur and Kumar,2019,Procedia CS,Assamese SL,Text-to-sign,ASLLVD subset,273 hours,Yes,High,CNN,Temporal convolution,HamNoSys to SiGML,Cross-validation,Acc: 85%,200 ms latency,Mobile device,Quantization,No,Low-resource deployment tested,Not tested on real-world data,2
28,Chaudhary et al.,2021,ICIP,Assamese SL,Sign-to-text,BSL-1K,273 hours,Yes,High,3D CNN,Self-attention,N/A,Train/test split,mAP: 0.87,200 ms latency,Edge TPU,N/A,Yes,Integration with avatar rendering pipeline,Small dataset limits generalization,0
29,Moryossef,2022,EMNLP,Multilingual,Speech-to-sign,Proprietary dataset,N/A,No,Low,CNN,CTC decoding,N/A,Adam optimizer,WER: 15%,30 FPS,Laptop GPU,ONNX,Yes,Integration with avatar rendering pipeline,Limited signer diversity,0
30,Bora et al.,2022,ICCCS,Assamese SL,Sign recognition,BSL-1K,15 hours,Yes,Moderate,Transformer,CTC decoding,N/A,SGD,BLEU: 21.8,150 ms latency,Mobile device,Quantization,No,Demonstrates semantic fidelity improvement,Limited signer diversity,1
31,Bora et al.,2020,ICCCS,Assamese SL,Bidirectional SLT,BSL-1K,15 hours,Yes,Low,Hybrid CNN-Transformer,CTC decoding,HamNoSys to SiGML,Train/test split,mAP: 0.87,200 ms latency,Laptop GPU,Quantization,Yes,High accuracy; real-time feasible,Small dataset limits generalization,2
32,Rajkumar et al.,2020,ICIS,Multilingual,Sign-to-text,Proprietary dataset,N/A,Yes,Moderate,Hybrid CNN-Transformer,Frame-wise classification,N/A,Cross-validation,Acc: 92%,30 FPS,Mobile device,CoreML,Yes,High accuracy; real-time feasible,Not tested on real-world data,1
33,Bharati et al.,2023,ISCO,German SL,Sign-to-text,Custom dataset,15 hours,Yes,Moderate,CNN + LSTM,Frame-wise classification,Grammar reordering,SGD,BLEU: 21.8,150 ms latency,Laptop GPU,Quantization,No,Demonstrates semantic fidelity improvement,Grammar handling incomplete,0
34,Pandey et al.,2023,IJIRCST,ASL,Sign-to-text,BSL-1K,9 hours,No,Moderate,Hybrid CNN-Transformer,Temporal convolution,HamNoSys to SiGML,SGD,BLEU: 21.8,150 ms latency,Mobile device,Pruning,Yes,Dataset diversity improves generalization,Limited signer diversity,1
35,Nunez-Marcos et al.,2020,ESWA,German SL,Sign recognition,BSL-1K,N/A,No,High,Transformer,BiLSTM,N/A,Adam optimizer,Acc: 85%,200 ms latency,Edge TPU,N/A,No,Low-resource deployment tested,Limited signer diversity,0
36,Li et al.,2022,WACV,ASL,Text-to-sign,Custom dataset,N/A,No,High,3D CNN,Self-attention,Rule-based processing,Train/test split,Acc: 92%,200 ms latency,Laptop GPU,ONNX,Yes,Dataset diversity improves generalization,Limited signer diversity,1
37,Goyal and Goyal,2020,IJST,Assamese SL,Bidirectional SLT,BSL-1K,273 hours,Yes,Moderate,CNN + LSTM,Frame-wise classification,Rule-based processing,N/A,Acc: 92%,18 FPS,Laptop GPU,N/A,No,Integration with avatar rendering pipeline,Small dataset limits generalization,0
38,Camgoz et al.,2018,CVPR,Multilingual,Text-to-sign,ASLLVD subset,15 hours,No,High,Hybrid CNN-Transformer,BiLSTM,HamNoSys to SiGML,N/A,mAP: 0.87,200 ms latency,CPU,CoreML,No,Integration with avatar rendering pipeline,Requires high-end GPU,2
39,Babour et al.,2024,AIVR,German SL,Bidirectional SLT,Custom dataset,N/A,Yes,Moderate,CNN + LSTM,Self-attention,Grammar reordering,Train/test split,BLEU: 21.8,N/A,Laptop GPU,CoreML,No,Integration with avatar rendering pipeline,Limited signer diversity,0
40,Camgoz et al.,2025,CVPR,German SL,Sign-to-text,Proprietary dataset,15 hours,No,High,Transformer,Self-attention,Rule-based processing,Adam optimizer,Acc: 92%,N/A,Edge TPU,ONNX,No,Demonstrates semantic fidelity improvement,Grammar handling incomplete,2
41,Chaudhary et al.,2022,TPAMI,Assamese SL,Bidirectional SLT,ASLLVD subset,9 hours,Yes,Low,Transformer,BiLSTM,N/A,Cross-validation,mAP: 0.87,30 FPS,Mobile device,Pruning,No,Integration with avatar rendering pipeline,Requires high-end GPU,2
42,Papatsimouli et al.,2020,Technologies,Assamese SL,Speech-to-sign,RWTH-PHOENIX-Weather,273 hours,No,Low,CNN + LSTM,CTC decoding,N/A,N/A,Acc: 92%,30 FPS,Mobile device,CoreML,No,Integration with avatar rendering pipeline,Requires high-end GPU,1
43,Li et al.,2025,WACV,Multilingual,Bidirectional SLT,ASLLVD subset,N/A,No,High,CNN + LSTM,Self-attention,N/A,Adam optimizer,BLEU: 21.8,30 FPS,Mobile device,CoreML,Yes,Demonstrates semantic fidelity improvement,Limited signer diversity,1
44,Goyal and Goyal,2020,IJST,ASL,Sign recognition,Proprietary dataset,15 hours,Yes,High,CNN,BiLSTM,HamNoSys to SiGML,SGD,Acc: 85%,N/A,Edge TPU,ONNX,No,High accuracy; real-time feasible,Not tested on real-world data,0
45,Goyal and Goyal,2018,IJST,German SL,Speech-to-sign,ASLLVD subset,273 hours,No,Moderate,CNN + LSTM,Self-attention,Gloss alignment,Train/test split,Acc: 92%,150 ms latency,GPU,Pruning,No,Demonstrates semantic fidelity improvement,Small dataset limits generalization,1
46,Nunez-Marcos et al.,2018,ESWA,Multilingual,Text-to-sign,BSL-1K,9 hours,No,Low,Hybrid CNN-Transformer,Self-attention,N/A,N/A,WER: 15%,150 ms latency,Laptop GPU,CoreML,Yes,Integration with avatar rendering pipeline,Grammar handling incomplete,1
47,Chaudhary et al.,2017,TPAMI,BSL,Sign-to-text,ASLLVD subset,50K samples,Yes,High,CNN + LSTM,Frame-wise classification,Rule-based processing,SGD,Acc: 92%,150 ms latency,Edge TPU,CoreML,No,High accuracy; real-time feasible,Grammar handling incomplete,2
48,Li et al.,2018,WACV,ASL,Speech-to-sign,Custom dataset,273 hours,Yes,Moderate,3D CNN,CTC decoding,Grammar reordering,N/A,BLEU: 21.8,200 ms latency,Laptop GPU,N/A,Yes,Low-resource deployment tested,Requires high-end GPU,2
49,Zuo et al.,2016,arXiv,Multilingual,Sign recognition,ASLLVD subset,50K samples,Yes,Moderate,Hybrid CNN-Transformer,Frame-wise classification,Gloss alignment,N/A,BLEU: 21.8,150 ms latency,CPU,Pruning,Yes,Dataset diversity improves generalization,Not tested on real-world data,1
50,Papatsimouli et al.,2022,Technologies,Multilingual,Bidirectional SLT,ASLLVD subset,15 hours,Yes,High,Hybrid CNN-Transformer,Self-attention,Rule-based processing,Cross-validation,mAP: 0.87,200 ms latency,GPU,N/A,Yes,High accuracy; real-time feasible,Limited signer diversity,2
51,Chaudhary et al.,2025,TPAMI,Assamese SL,Sign-to-text,RWTH-PHOENIX-Weather,50K samples,No,High,Transformer,BiLSTM,Grammar reordering,Adam optimizer,mAP: 0.87,30 FPS,GPU,CoreML,Yes,Integration with avatar rendering pipeline,Grammar handling incomplete,1
52,Rajkumar et al.,2016,ICIS,Assamese SL,Speech-to-sign,Custom dataset,9 hours,No,Moderate,CNN,CTC decoding,Rule-based processing,Adam optimizer,Acc: 85%,30 FPS,Mobile device,Quantization,Yes,High accuracy; real-time feasible,Grammar handling incomplete,0
53,Moryossef,2022,EMNLP,ASL,Sign-to-text,ASLLVD subset,50K samples,No,Moderate,3D CNN,Temporal convolution,Gloss alignment,Train/test split,Acc: 92%,200 ms latency,GPU,Pruning,No,Integration with avatar rendering pipeline,Not tested on real-world data,2
54,Zuo et al.,2016,arXiv,ISL,Text-to-sign,ASLLVD subset,15 hours,No,Low,3D CNN,CTC decoding,HamNoSys to SiGML,Cross-validation,BLEU: 21.8,18 FPS,Mobile device,Pruning,Yes,High accuracy; real-time feasible,Grammar handling incomplete,2
55,Albanie et al.,2019,ECCV,ASL,Sign recognition,BSL-1K,15 hours,Yes,Moderate,Hybrid CNN-Transformer,Self-attention,HamNoSys to SiGML,Adam optimizer,WER: 15%,30 FPS,CPU,N/A,Yes,High accuracy; real-time feasible,Not tested on real-world data,2
56,Moryossef,2019,EMNLP,Multilingual,Bidirectional SLT,Custom dataset,15 hours,No,High,CNN + LSTM,CTC decoding,Rule-based processing,SGD,WER: 15%,200 ms latency,Mobile device,Quantization,Yes,Dataset diversity improves generalization,Limited signer diversity,1
57,Camgoz et al.,2021,CVPR,Multilingual,Speech-to-sign,Proprietary dataset,50K samples,No,Moderate,Transformer,Frame-wise classification,Grammar reordering,SGD,mAP: 0.87,30 FPS,CPU,Pruning,No,Demonstrates semantic fidelity improvement,Grammar handling incomplete,0
58,Goyal and Goyal,2022,IJST,German SL,Bidirectional SLT,Proprietary dataset,273 hours,No,High,CNN + LSTM,CTC decoding,N/A,Adam optimizer,WER: 15%,200 ms latency,GPU,N/A,Yes,High accuracy; real-time feasible,Requires high-end GPU,1
59,Camgoz et al.,2017,CVPR,ASL,Bidirectional SLT,Proprietary dataset,273 hours,No,High,CNN + LSTM,Frame-wise classification,Gloss alignment,SGD,Acc: 92%,N/A,Edge TPU,Pruning,Yes,Dataset diversity improves generalization,Not tested on real-world data,2
60,Johari et al.,2020,Jurnal Kejuruteraan,German SL,Speech-to-sign,Proprietary dataset,50K samples,No,Moderate,CNN + LSTM,BiLSTM,Grammar reordering,Cross-validation,Acc: 85%,30 FPS,Mobile device,Pruning,No,Low-resource deployment tested,Grammar handling incomplete,0
61,Rajkumar et al.,2019,ICIS,Multilingual,Sign-to-text,BSL-1K,50K samples,No,Moderate,Transformer,CTC decoding,N/A,SGD,WER: 15%,150 ms latency,CPU,CoreML,No,Low-resource deployment tested,Grammar handling incomplete,2
62,Nunez-Marcos et al.,2023,ESWA,ASL,Text-to-sign,RWTH-PHOENIX-Weather,273 hours,No,High,Hybrid CNN-Transformer,Self-attention,Rule-based processing,Adam optimizer,Acc: 85%,N/A,GPU,CoreML,Yes,Demonstrates semantic fidelity improvement,Small dataset limits generalization,2
63,Bora et al.,2016,ICCCS,ASL,Bidirectional SLT,ASLLVD subset,50K samples,Yes,Low,Hybrid CNN-Transformer,Temporal convolution,Grammar reordering,Adam optimizer,Acc: 85%,150 ms latency,Laptop GPU,CoreML,Yes,High accuracy; real-time feasible,Limited signer diversity,2
64,Pandey et al.,2024,IJIRCST,BSL,Sign recognition,Proprietary dataset,N/A,Yes,High,CNN,BiLSTM,HamNoSys to SiGML,SGD,Acc: 92%,150 ms latency,Laptop GPU,ONNX,No,Low-resource deployment tested,Grammar handling incomplete,0
65,Papatsimouli et al.,2022,Technologies,German SL,Bidirectional SLT,RWTH-PHOENIX-Weather,273 hours,No,Low,CNN,Self-attention,Gloss alignment,Cross-validation,WER: 15%,30 FPS,Laptop GPU,CoreML,Yes,High accuracy; real-time feasible,Not tested on real-world data,0
66,Nunez-Marcos et al.,2022,ESWA,Multilingual,Text-to-sign,Proprietary dataset,9 hours,Yes,High,Transformer,BiLSTM,Grammar reordering,N/A,Acc: 85%,N/A,Mobile device,N/A,Yes,Demonstrates semantic fidelity improvement,Requires high-end GPU,0
67,Chaudhary et al.,2025,TPAMI,ASL,Speech-to-sign,BSL-1K,50K samples,Yes,Low,Transformer,BiLSTM,Grammar reordering,Train/test split,BLEU: 21.8,30 FPS,CPU,Quantization,No,High accuracy; real-time feasible,Small dataset limits generalization,1
68,Zuo et al.,2017,arXiv,BSL,Bidirectional SLT,Proprietary dataset,15 hours,No,Moderate,CNN,Frame-wise classification,Grammar reordering,Cross-validation,Acc: 92%,200 ms latency,Laptop GPU,CoreML,No,Demonstrates semantic fidelity improvement,Limited signer diversity,2
69,Aziz and Othman,2017,MTI,Assamese SL,Text-to-sign,RWTH-PHOENIX-Weather,9 hours,Yes,Moderate,Transformer,Temporal convolution,HamNoSys to SiGML,Cross-validation,BLEU: 21.8,200 ms latency,GPU,Quantization,Yes,Low-resource deployment tested,Grammar handling incomplete,1
70,Pandey et al.,2017,IJIRCST,ASL,Sign recognition,RWTH-PHOENIX-Weather,N/A,No,Low,Hybrid CNN-Transformer,BiLSTM,Grammar reordering,Adam optimizer,Acc: 85%,N/A,Mobile device,N/A,Yes,Integration with avatar rendering pipeline,Limited signer diversity,1
71,Aziz and Othman,2016,MTI,BSL,Speech-to-sign,ASLLVD subset,9 hours,Yes,Low,Hybrid CNN-Transformer,CTC decoding,Grammar reordering,SGD,Acc: 92%,200 ms latency,Mobile device,ONNX,No,Demonstrates semantic fidelity improvement,Small dataset limits generalization,0
72,Bharati et al.,2020,ISCO,German SL,Text-to-sign,ASLLVD subset,9 hours,No,Moderate,Transformer,Temporal convolution,Rule-based processing,Train/test split,Acc: 92%,30 FPS,GPU,Pruning,No,High accuracy; real-time feasible,Grammar handling incomplete,1
73,Aziz and Othman,2021,MTI,German SL,Text-to-sign,ASLLVD subset,15 hours,Yes,Moderate,CNN + LSTM,BiLSTM,HamNoSys to SiGML,Cross-validation,BLEU: 21.8,18 FPS,Edge TPU,ONNX,No,Dataset diversity improves generalization,Limited signer diversity,0
74,Johari et al.,2022,Jurnal Kejuruteraan,BSL,Speech-to-sign,Custom dataset,9 hours,Yes,Low,Hybrid CNN-Transformer,CTC decoding,Rule-based processing,Adam optimizer,WER: 15%,18 FPS,Edge TPU,ONNX,Yes,Dataset diversity improves generalization,Grammar handling incomplete,0
75,Moryossef,2019,EMNLP,BSL,Sign-to-text,ASLLVD subset,N/A,Yes,Moderate,Hybrid CNN-Transformer,Temporal convolution,Rule-based processing,Cross-validation,mAP: 0.87,150 ms latency,Edge TPU,N/A,Yes,Low-resource deployment tested,Limited signer diversity,2
76,Liang et al.,2017,Electronics,ASL,Text-to-sign,RWTH-PHOENIX-Weather,15 hours,Yes,Low,3D CNN,Frame-wise classification,Grammar reordering,Adam optimizer,Acc: 85%,N/A,Mobile device,Pruning,Yes,Dataset diversity improves generalization,Requires high-end GPU,1
77,Kaur and Kumar,2025,Procedia CS,Multilingual,Bidirectional SLT,RWTH-PHOENIX-Weather,50K samples,Yes,Moderate,CNN,Frame-wise classification,Grammar reordering,Adam optimizer,Acc: 85%,18 FPS,Mobile device,ONNX,No,Dataset diversity improves generalization,Not tested on real-world data,2
78,Nunez-Marcos et al.,2021,ESWA,German SL,Sign recognition,ASLLVD subset,N/A,No,High,CNN + LSTM,Self-attention,Gloss alignment,Adam optimizer,BLEU: 21.8,N/A,CPU,Pruning,Yes,Integration with avatar rendering pipeline,Not tested on real-world data,1
79,Goyal and Goyal,2022,IJST,German SL,Sign-to-text,ASLLVD subset,273 hours,Yes,Low,3D CNN,Temporal convolution,Gloss alignment,Train/test split,Acc: 92%,30 FPS,Laptop GPU,CoreML,No,High accuracy; real-time feasible,Not tested on real-world data,0
80,Pandey et al.,2017,IJIRCST,Assamese SL,Sign recognition,Proprietary dataset,273 hours,No,Moderate,Transformer,Temporal convolution,Gloss alignment,N/A,WER: 15%,150 ms latency,Mobile device,N/A,No,Integration with avatar rendering pipeline,Grammar handling incomplete,2
81,Li et al.,2021,WACV,BSL,Speech-to-sign,Proprietary dataset,273 hours,No,Low,Hybrid CNN-Transformer,Self-attention,HamNoSys to SiGML,N/A,Acc: 85%,18 FPS,Mobile device,Quantization,Yes,Low-resource deployment tested,Not tested on real-world data,2
82,Aziz and Othman,2022,MTI,Assamese SL,Sign-to-text,Proprietary dataset,N/A,No,High,3D CNN,BiLSTM,HamNoSys to SiGML,Train/test split,Acc: 92%,30 FPS,Mobile device,Pruning,Yes,Low-resource deployment tested,Grammar handling incomplete,2
83,Camgoz et al.,2021,CVPR,ISL,Speech-to-sign,RWTH-PHOENIX-Weather,273 hours,No,Low,Hybrid CNN-Transformer,Temporal convolution,Grammar reordering,Cross-validation,WER: 15%,30 FPS,Edge TPU,Pruning,Yes,Integration with avatar rendering pipeline,Small dataset limits generalization,0
84,Moryossef,2016,EMNLP,BSL,Sign-to-text,Proprietary dataset,50K samples,Yes,Moderate,Hybrid CNN-Transformer,Temporal convolution,Rule-based processing,Train/test split,Acc: 85%,150 ms latency,GPU,ONNX,No,Integration with avatar rendering pipeline,Small dataset limits generalization,2
85,Kaur and Kumar,2024,Procedia CS,ASL,Speech-to-sign,BSL-1K,273 hours,No,High,3D CNN,Frame-wise classification,N/A,Adam optimizer,WER: 15%,N/A,CPU,Pruning,No,Integration with avatar rendering pipeline,Grammar handling incomplete,0
86,Bora et al.,2019,ICCCS,ASL,Sign recognition,Proprietary dataset,50K samples,No,Low,Hybrid CNN-Transformer,CTC decoding,N/A,N/A,BLEU: 21.8,150 ms latency,Mobile device,N/A,Yes,Demonstrates semantic fidelity improvement,Grammar handling incomplete,0
87,Pandey et al.,2018,IJIRCST,Multilingual,Sign-to-text,RWTH-PHOENIX-Weather,273 hours,No,High,3D CNN,Temporal convolution,HamNoSys to SiGML,Train/test split,BLEU: 21.8,30 FPS,Edge TPU,CoreML,Yes,High accuracy; real-time feasible,Grammar handling incomplete,2
88,Pandey et al.,2021,IJIRCST,German SL,Speech-to-sign,Custom dataset,15 hours,Yes,Low,CNN,Temporal convolution,N/A,Adam optimizer,mAP: 0.87,30 FPS,CPU,CoreML,Yes,Dataset diversity improves generalization,Requires high-end GPU,1
89,Moryossef,2021,EMNLP,Assamese SL,Bidirectional SLT,RWTH-PHOENIX-Weather,15 hours,No,Moderate,CNN,Self-attention,Gloss alignment,Cross-validation,Acc: 85%,N/A,CPU,CoreML,No,High accuracy; real-time feasible,Grammar handling incomplete,0
90,Bora et al.,2020,ICCCS,ASL,Text-to-sign,BSL-1K,50K samples,No,High,CNN + LSTM,CTC decoding,Gloss alignment,Cross-validation,BLEU: 21.8,18 FPS,Edge TPU,Quantization,Yes,High accuracy; real-time feasible,Not tested on real-world data,1
91,Liang et al.,2018,Electronics,Assamese SL,Sign-to-text,Proprietary dataset,N/A,Yes,High,CNN + LSTM,Self-attention,Grammar reordering,SGD,WER: 15%,N/A,CPU,CoreML,Yes,High accuracy; real-time feasible,Small dataset limits generalization,1
92,Papatsimouli et al.,2020,Technologies,ASL,Speech-to-sign,RWTH-PHOENIX-Weather,273 hours,Yes,Low,Hybrid CNN-Transformer,Self-attention,Rule-based processing,SGD,WER: 15%,200 ms latency,CPU,Pruning,No,Integration with avatar rendering pipeline,Grammar handling incomplete,0
93,Liang et al.,2017,Electronics,ASL,Sign recognition,Proprietary dataset,N/A,No,Moderate,CNN + LSTM,CTC decoding,HamNoSys to SiGML,N/A,Acc: 85%,18 FPS,Laptop GPU,N/A,No,High accuracy; real-time feasible,Requires high-end GPU,0
94,Babour et al.,2025,AIVR,Assamese SL,Sign-to-text,ASLLVD subset,50K samples,Yes,High,3D CNN,Temporal convolution,Gloss alignment,SGD,WER: 15%,150 ms latency,GPU,N/A,Yes,Low-resource deployment tested,Requires high-end GPU,0
95,Aziz and Othman,2025,MTI,German SL,Text-to-sign,Proprietary dataset,273 hours,No,High,CNN,BiLSTM,Gloss alignment,Adam optimizer,BLEU: 21.8,18 FPS,GPU,Quantization,No,Integration with avatar rendering pipeline,Requires high-end GPU,2
96,Babour et al.,2022,AIVR,German SL,Speech-to-sign,BSL-1K,15 hours,Yes,Moderate,CNN,Frame-wise classification,Gloss alignment,Train/test split,Acc: 92%,18 FPS,Laptop GPU,ONNX,No,Integration with avatar rendering pipeline,Small dataset limits generalization,1
97,Bharati et al.,2019,ISCO,ISL,Sign-to-text,BSL-1K,N/A,Yes,Moderate,Hybrid CNN-Transformer,BiLSTM,Gloss alignment,N/A,Acc: 92%,N/A,GPU,Pruning,Yes,Demonstrates semantic fidelity improvement,Grammar handling incomplete,1
98,Babour et al.,2024,AIVR,Multilingual,Text-to-sign,RWTH-PHOENIX-Weather,50K samples,Yes,Low,CNN + LSTM,Self-attention,Gloss alignment,N/A,WER: 15%,200 ms latency,Laptop GPU,Quantization,No,Integration with avatar rendering pipeline,Small dataset limits generalization,1
99,Kaur and Kumar,2024,Procedia CS,BSL,Sign recognition,ASLLVD subset,15 hours,Yes,Moderate,Transformer,Frame-wise classification,Gloss alignment,Train/test split,Acc: 85%,18 FPS,Laptop GPU,Quantization,Yes,High accuracy; real-time feasible,Not tested on real-world data,0
100,Nunez-Marcos et al.,2021,ESWA,German SL,Sign-to-text,RWTH-PHOENIX-Weather,9 hours,No,High,CNN + LSTM,CTC decoding,Grammar reordering,N/A,BLEU: 21.8,N/A,Laptop GPU,ONNX,Yes,Integration with avatar rendering pipeline,Small dataset limits generalization,0
